"station","hour_of_day","avg_availability","avg_delta"
40,15,7.87,-1.74
40,16,9.22,1.35
40,17,11.38,2.17
40,18,12.91,1.55
40,19,13.78,0.87
40,20,14.26,0.70
40,21,14.69,0.44
40,22,15.10,0.41
40,23,14.71,-0.39
41,0,30.01,0.03
41,1,29.20,-0.77
41,2,28.58,-0.39
41,3,28.32,-0.26
41,4,27.94,-0.27
41,5,27.44,-0.61
41,6,25.15,-2.29
41,7,19.93,-5.35
41,8,12.22,-7.71
41,9,10.08,-2.15
41,10,9.49,-0.59
41,11,8.73,-0.75
41,12,8.55,-0.18
41,13,7.85,-0.70
41,14,8.15,0.30
41,15,10.87,2.72
41,16,16.20,5.33
41,17,22.35,6.15
41,18,25.65,3.51
41,19,25.90,0.25
41,20,26.65,0.73
41,21,28.46,1.81
41,22,29.53,1.07
41,23,29.23,-0.30
42,0,9.94,-1.23
42,1,8.35,-1.69
42,2,7.78,-1.05
42,3,7.36,-0.42
42,4,7.19,-0.10
42,5,6.85,-0.42
42,6,5.99,-0.86
42,7,4.17,-1.80
42,8,3.72,-0.45
42,9,3.72,-0.01
42,10,3.78,0.06
42,11,4.04,0.26
42,12,4.66,0.62
42,13,4.26,-0.40
42,14,4.36,0.10
42,15,4.46,0.10
42,16,5.18,0.71
42,17,6.03,0.85
42,18,7.11,1.32
42,19,7.85,0.74
42,20,9.82,1.95
42,21,10.39,0.57
42,22,10.95,0.56
42,23,11.17,0.22
43,0,6.35,-0.07
43,1,5.41,-0.91
43,2,5.20,-0.38
43,3,5.04,-0.16
43,4,4.80,-0.17
43,5,3.99,-0.87
43,6,2.57,-1.42
43,7,1.50,-1.18
43,8,1.21,-0.29
43,9,1.80,0.59
43,10,1.79,-0.01
43,11,1.61,-0.18
43,12,2.57,0.97
43,13,2.15,-0.42
43,14,2.97,0.82
43,15,3.42,0.44
43,16,3.56,0.15
43,17,4.01,0.45
43,18,4.25,0.17
43,19,4.77,0.53
43,20,6.30,1.48
43,21,7.61,1.30
43,22,7.52,-0.09
43,23,7.30,-0.22
44,0,5.04,-1.90
44,1,3.59,-1.54
44,2,3.60,0.13
44,3,3.48,-0.12
44,4,3.70,0.27
44,5,3.75,0.01
44,6,3.60,-0.15
44,7,2.11,-1.44
44,8,1.68,-0.43
44,9,2.04,0.36
44,10,2.08,0.05
44,11,2.57,0.48
44,12,2.63,0.07
44,13,3.24,0.61
44,14,5.45,2.21
44,15,5.73,0.28
44,16,5.42,-0.32
44,17,5.26,-0.16
44,18,5.56,0.24
44,19,7.01,1.45
44,20,7.93,0.98
44,21,7.27,-0.66
44,22,5.75,-1.52
44,23,5.19,-0.56
45,0,7.02,-0.72
45,1,6.05,-0.95
45,2,5.82,-0.05
45,3,5.87,0.05
45,4,5.44,-0.41
45,5,4.36,-1.10
45,6,3.47,-0.90
45,7,2.38,-1.18
45,8,2.40,0.02
45,9,2.41,0.01
45,10,1.66,-0.75
45,11,1.87,0.21
45,12,2.97,1.10
45,13,3.15,0.18
45,14,4.08,0.93
45,15,3.31,-0.77
45,16,3.43,0.13
45,17,3.91,0.48
45,18,4.84,0.87
45,19,6.54,1.70
45,20,6.63,0.16
45,21,6.95,0.32
45,22,7.17,0.22
45,23,6.57,-0.60
46,0,5.29,0.20
46,1,4.88,-0.30
46,2,4.80,0.08
46,3,4.91,0.11
46,4,4.70,-0.12
46,5,4.37,-0.42
46,6,3.07,-1.30
46,7,1.65,-1.57
46,8,1.25,-0.41
46,9,1.17,-0.08
46,10,1.46,0.29
46,11,1.45,-0.01
46,12,1.79,0.34
46,13,2.26,0.47
46,14,2.43,0.17
46,15,3.02,0.59
46,16,3.54,0.53
46,17,4.21,0.66
46,18,4.90,0.65
46,19,5.50,0.60
46,20,5.30,-0.15
46,21,4.78,-0.52
46,22,5.05,0.27
46,23,5.09,0.04
47,0,5.56,-0.44
47,1,5.34,-0.23
47,2,4.99,-0.25
47,3,4.88,-0.11
47,4,4.98,0.12
47,5,5.62,0.63
47,6,6.86,1.24
47,7,9.32,2.49
47,8,12.25,2.93
47,9,14.52,2.28
47,10,16.72,2.20
47,11,17.78,1.06
47,12,18.18,0.40
47,13,19.02,0.84
47,14,18.09,-0.93
47,15,16.71,-1.38
47,16,15.21,-1.50
47,17,14.26,-0.96
47,18,13.26,-1.28
47,19,10.45,-2.81
47,20,7.04,-3.40
47,21,5.12,-1.92
47,22,4.18,-0.94
47,23,3.99,-0.19
48,0,10.49,0.26
48,1,10.61,0.17
48,2,10.57,0.08
48,3,10.70,0.14
48,4,10.84,0.04
48,5,10.93,0.19
48,6,11.38,0.45
48,7,10.89,-0.53
48,8,11.10,0.21
48,9,11.11,0.02
48,10,10.37,-0.74
48,11,10.06,-0.31
48,12,10.10,0.03
48,13,10.06,-0.03
48,14,9.67,-0.39
48,15,9.94,0.28
48,16,9.59,-0.35
48,17,9.23,-0.36
48,18,9.08,-0.32
48,19,8.94,-0.14
48,20,8.09,-0.73
48,21,8.05,-0.04
48,22,9.14,1.09
48,23,9.67,0.53
50,0,14.08,0.34
50,1,14.04,0.19
50,2,14.51,0.63
50,3,14.63,0.12
50,4,14.62,-0.06
50,5,14.20,-0.36
50,6,13.25,-0.95
50,7,11.45,-2.03
50,8,9.57,-1.88
50,9,8.99,-0.58
50,10,8.75,-0.24
50,11,8.17,-0.58
50,12,7.95,-0.22
50,13,8.15,0.20
50,14,8.11,-0.04
50,15,8.49,0.38
50,16,10.19,1.70
50,17,10.80,0.62
50,18,10.53,-0.11
50,19,10.97,0.45
50,20,11.85,1.16
50,21,13.16,1.31
50,22,14.05,0.89
50,23,14.51,0.47
51,0,13.86,0.42
51,1,14.22,0.37
51,2,14.53,0.20
51,3,14.69,0.16
51,4,14.78,0.04
51,5,14.65,-0.08
51,6,14.24,-0.40
51,7,12.43,-1.81
51,8,10.12,-2.31
51,9,9.05,-1.07
51,10,8.34,-0.71
51,11,7.83,-0.51
51,12,7.69,-0.13
51,13,7.61,-0.09
51,14,7.59,-0.02
51,15,7.70,0.12
51,16,8.46,0.76
51,17,9.34,0.88
51,18,10.22,1.05
51,19,11.32,1.10
51,20,11.97,0.69
51,21,12.70,0.73
51,22,13.32,0.61
51,23,13.81,0.49
52,0,16.88,0.17
52,1,17.15,0.19
52,2,17.05,-0.20
52,3,17.25,0.20
52,4,17.52,0.14
52,5,17.48,0.09
52,6,16.89,-0.59
52,7,15.17,-1.64
52,8,15.60,0.43
52,9,15.74,0.14
52,10,15.83,0.08
52,11,15.07,-0.75
52,12,14.87,-0.21
52,13,14.80,-0.07
52,14,14.05,-0.75
52,15,12.70,-1.34
52,16,12.41,-0.30
52,17,13.43,1.02
52,18,14.14,0.78
52,19,14.73,0.59
52,20,15.14,0.42
52,21,15.95,0.81
52,22,16.61,0.66
52,23,17.17,0.57
53,0,13.75,0.23
53,1,14.09,0.35
53,2,14.22,0.05
53,3,14.36,0.15
53,4,14.43,0.12
53,5,14.03,-0.45
53,6,12.67,-1.36
53,7,12.48,-0.22
53,8,12.90,0.42
53,9,12.59,-0.30
53,10,11.71,-0.88
53,11,11.02,-0.69
53,12,10.93,-0.10
53,13,10.47,-0.46
53,14,10.25,-0.22
53,15,9.69,-0.56
53,16,9.70,0.01
53,17,9.97,0.27
53,18,10.50,0.75
53,19,11.24,0.74
53,20,11.91,0.63
53,21,12.72,0.81
53,22,13.48,0.76
53,23,13.64,0.16
54,0,17.93,0.62
54,1,18.09,0.32
54,2,18.56,0.25
54,3,18.85,0.28
54,4,19.01,0.10
54,5,18.87,-0.07
54,6,17.81,-1.06
54,7,14.97,-3.00
54,8,12.61,-2.36
54,9,11.61,-1.00
54,10,10.70,-0.90
54,11,10.08,-0.63
54,12,9.44,-0.64
54,13,8.91,-0.53
54,14,8.31,-0.60
54,15,8.77,0.46
54,16,10.59,1.82
54,17,11.56,0.98
54,18,13.05,1.73
54,19,14.70,1.65
54,20,16.24,1.72
54,21,17.45,1.21
54,22,18.12,0.68
54,23,18.57,0.45
55,0,7.38,0.33
55,1,7.52,0.23
55,2,8.03,0.24
55,3,8.25,0.22
55,4,8.47,0.17
55,5,8.11,-0.31
55,6,7.65,-0.46
55,7,6.74,-0.99
55,8,5.98,-0.76
55,9,5.52,-0.47
55,10,5.26,-0.26
55,11,4.95,-0.31
55,12,4.55,-0.40
55,13,4.19,-0.36
55,14,4.07,-0.12
55,15,4.40,0.33
55,16,5.37,0.97
55,17,5.96,0.59
55,18,6.05,0.01
55,19,6.22,0.17
55,20,6.48,0.34
55,21,6.92,0.44
55,22,7.38,0.45
55,23,7.49,0.12
56,0,9.13,0.22
56,1,9.14,0.04
56,2,9.59,0.30
56,3,9.78,0.19
56,4,9.95,0.09
56,5,9.56,-0.31
56,6,8.50,-1.06
56,7,6.75,-1.80
56,8,5.43,-1.32
56,9,5.15,-0.29
56,10,4.72,-0.43
56,11,4.56,-0.16
56,12,4.24,-0.31
56,13,4.37,0.13
56,14,4.75,0.38
56,15,4.92,0.18
56,16,5.31,0.39
56,17,5.85,0.54
56,18,6.16,0.40
56,19,6.94,0.79
56,20,7.93,0.97
56,21,9.33,1.41
56,22,9.87,0.54
56,23,10.05,0.18
57,0,19.76,0.40
57,1,20.11,0.29
57,2,20.52,0.53
57,3,21.24,0.72
57,4,21.33,-0.02
57,5,20.49,-0.73
57,6,18.27,-2.21
57,7,13.02,-5.23
57,8,9.77,-3.25
57,9,9.10,-0.67
57,10,8.27,-0.84
57,11,7.38,-0.89
57,12,6.69,-0.69
57,13,5.98,-0.70
57,14,6.46,0.48
57,15,8.21,1.75
57,16,11.99,3.78
57,17,13.78,1.79
57,18,13.45,-0.17
57,19,14.82,1.37
57,20,17.16,2.38
57,21,18.83,1.67
57,22,19.93,1.10
57,23,20.76,0.83
58,0,21.25,0.77
58,1,21.93,0.58
58,2,22.25,0.37
58,3,22.76,0.51
58,4,23.01,0.30
58,5,22.65,-0.40
58,6,21.03,-1.63
58,7,16.45,-4.48
58,8,12.19,-4.27
58,9,10.36,-1.83
58,10,8.57,-1.79
58,11,7.85,-0.72
58,12,7.49,-0.37
58,13,6.65,-0.84
58,14,7.34,0.69
58,15,8.93,1.59
58,16,11.98,3.05
58,17,14.04,2.07
58,18,14.92,1.27
58,19,16.33,1.40
58,20,18.78,2.49
58,21,20.74,1.96
58,22,21.66,0.92
58,23,22.33,0.67
60,0,3.92,-0.10
60,1,4.07,0.09
60,2,4.05,-0.58
60,3,4.20,0.15
60,4,4.53,0.24
60,5,4.49,0.05
60,6,8.84,4.35
60,7,25.01,16.32
60,8,40.63,15.63
60,9,42.91,2.27
60,10,40.95,-1.96
60,11,38.46,-2.49
60,12,37.82,-0.64
60,13,36.84,-0.98
60,14,32.21,-4.63
60,15,18.47,-13.74
60,16,7.17,-11.30
60,17,5.13,-2.05
60,18,4.82,-0.39
60,19,3.78,-1.05
60,20,3.35,-0.50
60,21,2.92,-0.44
60,22,2.84,-0.08
60,23,3.20,0.36
61,0,19.34,1.02
61,1,19.87,0.63
61,2,20.32,1.01
61,3,20.61,0.29
61,4,20.43,-0.20
61,5,19.39,-1.03
61,6,16.11,-3.28
61,7,8.95,-7.31
61,8,6.31,-2.64
61,9,5.76,-0.55
61,10,5.56,-0.21
61,11,5.34,-0.22
61,12,5.11,-0.23
61,13,4.91,-0.19
61,14,5.17,0.26
61,15,6.85,1.68
61,16,8.81,1.96
61,17,9.74,0.93
61,18,10.79,1.09
61,19,12.47,1.68
61,20,14.75,2.33
61,21,16.55,1.80
61,22,17.89,1.34
61,23,19.08,1.18
62,0,12.78,0.53
62,1,13.27,0.51
62,2,13.80,0.56
62,3,14.33,0.53
62,4,14.28,-0.10
62,5,13.36,-0.87
62,6,11.08,-2.29
62,7,7.03,-4.10
62,8,5.48,-1.56
62,9,5.40,-0.07
62,10,5.14,-0.27
62,11,4.50,-0.64
62,12,3.52,-0.99
62,13,3.37,-0.14
62,14,4.00,0.63
62,15,5.28,1.28
62,16,5.93,0.65
62,17,5.91,-0.03
62,18,5.79,-0.20
62,19,6.87,1.08
62,20,8.50,1.72
62,21,10.28,1.78
62,22,11.60,1.32
62,23,12.87,1.27
63,0,15.29,0.50
63,1,15.77,0.50
63,2,16.84,1.28
63,3,17.33,0.49
63,4,17.00,-0.34
63,5,15.63,-1.37
63,6,12.69,-2.94
63,7,7.62,-5.14
63,8,6.36,-1.25
63,9,6.06,-0.30
63,10,5.20,-0.86
63,11,4.34,-0.86
63,12,3.91,-0.43
63,13,4.34,0.43
63,14,5.58,1.23
63,15,6.67,1.10
63,16,8.37,1.70
63,17,9.16,0.79
63,18,8.68,-0.50
63,19,9.38,0.70
63,20,11.88,2.55
63,21,13.63,1.75
63,22,14.26,0.63
63,23,14.43,0.17
64,0,11.47,0.11
64,1,11.84,0.42
64,2,13.36,1.44
64,3,13.94,0.58
64,4,14.49,0.27
64,5,16.97,2.77
64,6,19.14,2.16
64,7,15.26,-3.78
64,8,13.56,-1.70
64,9,14.08,0.51
64,10,12.92,-1.15
64,11,12.63,-0.29
64,12,13.29,0.65
64,13,11.74,-1.55
64,14,10.16,-1.57
64,15,9.26,-0.90
64,16,8.84,-0.42
64,17,9.75,0.91
64,18,10.39,0.58
64,19,11.06,0.67
64,20,9.31,-1.69
64,21,9.07,-0.25
64,22,10.34,1.27
64,23,11.40,1.06
65,0,13.44,-0.72
65,1,12.81,-0.67
65,2,12.51,-0.25
65,3,12.65,0.14
65,4,12.73,0.19
65,5,14.05,1.21
65,6,16.42,2.38
65,7,20.56,4.24
65,8,23.27,2.71
65,9,24.70,1.43
65,10,24.63,-0.08
65,11,24.60,-0.02
65,12,25.62,1.01
65,13,26.26,0.64
65,14,26.53,0.27
65,15,22.90,-3.63
65,16,21.30,-1.59
65,17,21.44,0.14
65,18,23.08,1.48
65,19,21.65,-1.43
65,20,18.05,-3.78
65,21,13.56,-4.49
65,22,11.31,-2.25
65,23,10.52,-0.79
66,0,9.22,0.11
66,1,9.16,-0.13
66,2,8.62,-0.60
66,3,8.53,-0.09
66,4,8.65,-0.06
66,5,8.37,-0.10
66,6,7.55,-0.82
66,7,8.24,0.73
66,8,9.02,0.78
66,9,9.64,0.80
66,10,10.33,0.49
66,11,10.39,0.06
66,12,10.93,0.54
66,13,11.90,0.97
66,14,12.23,0.33
66,15,12.10,-0.13
66,16,12.56,0.46
66,17,13.13,0.57
66,18,12.44,-0.67
66,19,11.24,-1.19
66,20,10.00,-1.35
66,21,9.33,-0.67
66,22,8.57,-0.76
66,23,8.41,-0.17
68,0,19.17,0.97
68,1,19.36,0.55
68,2,19.10,-0.05
68,3,18.77,-0.33
68,4,18.50,-0.31
68,5,16.72,-1.75
68,6,11.35,-5.37
68,7,4.67,-7.17
68,8,3.68,-1.00
68,9,3.25,-0.42
68,10,3.01,-0.25
68,11,2.78,-0.23
68,12,3.33,0.55
68,13,3.93,0.60
68,14,6.07,2.14
68,15,10.27,4.20
68,16,11.50,1.23
68,17,11.66,0.16
68,18,11.72,-0.04
68,19,12.54,0.83
68,20,14.38,2.08
68,21,17.14,2.76
68,22,18.82,1.68
68,23,19.50,0.68
69,0,1.16,-0.31
69,1,0.94,-0.25
69,2,0.84,-0.21
69,3,0.74,-0.10
69,4,0.70,-0.05
69,5,0.55,-0.14
69,6,0.88,0.33
69,7,1.73,0.87
69,8,2.92,1.18
69,9,4.01,1.09
69,10,4.56,0.55
69,11,4.57,0.01
69,12,3.96,-0.62
69,13,3.78,-0.18
69,14,3.13,-0.65
69,15,2.11,-1.02
69,16,1.86,-0.25
69,17,2.01,0.15
69,18,2.14,0.11
69,19,2.54,0.40
69,20,2.21,-0.27
69,21,1.94,-0.27
69,22,1.45,-0.49
69,23,1.18,-0.27
70,0,7.78,0.51
70,1,7.91,0.23
70,2,8.14,0.27
70,3,8.09,-0.05
70,4,7.69,-0.54
70,5,6.80,-0.76
70,6,5.01,-1.79
70,7,2.68,-2.49
70,8,1.65,-1.03
70,9,2.05,0.41
70,10,2.29,0.23
70,11,1.54,-0.74
70,12,2.18,0.63
70,13,3.21,1.03
70,14,3.22,0.01
70,15,4.82,1.59
70,16,6.39,1.58
70,17,5.27,-1.13
70,18,4.57,-0.79
70,19,5.32,0.75
70,20,6.13,0.87
70,21,7.32,1.19
70,22,8.24,0.92
70,23,8.47,0.23
71,0,6.74,-0.06
71,1,6.79,-0.06
71,2,6.69,0.09
71,3,6.69,0.00
71,4,6.85,0.05
71,5,6.91,0.17
71,6,7.31,0.39
71,7,6.76,-0.42
71,8,6.08,-0.68
71,9,6.06,-0.02
71,10,6.21,0.15
71,11,7.17,1.12
71,12,8.11,0.94
71,13,8.59,0.47
71,14,9.21,0.62
71,15,8.66,-0.54
71,16,11.50,2.84
71,17,13.51,2.00
71,18,13.81,0.08
71,19,11.38,-2.43
71,20,8.91,-2.67
71,21,7.20,-1.71
71,22,6.47,-0.73
71,23,6.34,-0.13
72,0,13.96,0.34
72,1,14.26,0.34
72,2,14.30,0.27
72,3,14.41,0.10
72,4,14.40,0.05
72,5,14.79,0.34
72,6,14.26,-0.53
72,7,11.18,-3.12
72,8,8.39,-2.79
72,9,7.87,-0.52
72,10,7.72,-0.15
72,11,7.83,0.12
72,12,8.53,0.70
72,13,8.07,-0.46
72,14,8.08,0.01
72,15,9.34,1.26
72,16,12.75,3.41
72,17,14.79,2.04
72,18,14.73,-0.08
72,19,15.86,1.14
72,20,15.79,-0.07
72,21,14.94,-0.84
72,22,14.12,-0.82
72,23,13.54,-0.58
73,0,4.60,0.12
73,1,4.74,0.04
73,2,4.84,-0.10
73,3,4.84,0.00
73,4,4.78,-0.02
73,5,4.81,-0.02
73,6,5.55,0.74
73,7,7.37,1.93
73,8,10.05,2.69
73,9,9.26,-0.79
73,10,8.67,-0.59
73,11,8.23,-0.44
73,12,8.08,-0.16
73,13,7.67,-0.41
73,14,6.86,-0.81
73,15,4.66,-2.20
73,16,4.79,0.13
73,17,6.39,1.60
73,18,7.27,1.12
73,19,6.90,-0.38
73,20,6.24,-0.80
73,21,5.06,-1.17
73,22,4.74,-0.33
73,23,4.60,-0.14
74,0,8.24,0.10
74,1,8.38,0.20
74,2,8.40,-0.29
74,3,8.48,0.08
74,4,8.50,-0.02
74,5,8.08,-0.38
74,6,8.88,0.81
74,7,7.96,-0.97
74,8,5.89,-2.06
74,9,5.14,-0.75
74,10,4.97,-0.18
74,11,4.99,0.02
74,12,4.84,-0.15
74,13,5.04,0.20
74,14,5.23,0.19
74,15,4.75,-0.48
74,16,6.35,1.61
74,17,7.51,1.16
74,18,8.32,0.81
74,19,8.00,-0.31
74,20,8.13,0.12
74,21,8.07,-0.06
74,22,7.92,-0.15
74,23,8.07,0.15
75,0,19.79,0.96
75,1,20.39,0.79
75,2,20.87,0.59
75,3,21.21,0.34
75,4,20.65,-0.30
75,5,20.07,-0.84
75,6,16.64,-3.43
75,7,9.45,-7.43
75,8,5.83,-3.62
75,9,5.57,-0.26
75,10,5.62,0.05
75,11,4.95,-0.68
75,12,4.06,-0.89
75,13,5.35,1.29
75,14,6.60,1.25
75,15,8.57,1.97
75,16,12.00,3.44
75,17,13.85,1.84
75,18,14.54,1.23
75,19,14.83,0.29
75,20,16.94,2.17
75,21,18.87,1.93
75,22,20.68,1.80
75,23,21.69,1.01
76,0,14.50,0.36
76,1,14.52,0.28
76,2,14.44,-0.39
76,3,14.58,0.14
76,4,14.74,-0.03
76,5,14.30,-0.25
76,6,12.87,-1.43
76,7,9.69,-3.46
76,8,6.73,-2.95
76,9,6.32,-0.41
76,10,6.50,0.18
76,11,6.05,-0.45
76,12,5.67,-0.38
76,13,6.13,0.47
76,14,6.89,0.76
76,15,8.53,1.63
76,16,11.62,3.09
76,17,16.25,4.63
76,18,17.41,1.78
76,19,16.28,-1.12
76,20,13.92,-2.17
76,21,13.72,-0.20
76,22,14.58,0.86
76,23,14.81,0.23
78,0,14.60,0.91
78,1,15.78,1.15
78,2,16.65,0.35
78,3,17.25,0.60
78,4,17.15,0.09
78,5,17.04,-0.30
78,6,14.58,-2.46
78,7,9.19,-5.35
78,8,5.67,-3.53
78,9,5.09,-0.58
78,10,4.57,-0.52
78,11,3.92,-0.65
78,12,3.25,-0.67
78,13,2.89,-0.36
78,14,2.66,-0.23
78,15,3.15,0.49
78,16,4.39,1.24
78,17,6.01,1.62
78,18,7.22,1.23
78,19,8.83,1.61
78,20,10.95,2.25
78,21,13.12,2.17
78,22,15.18,2.06
78,23,15.98,0.80
79,0,1.19,-0.10
79,1,1.15,-0.01
79,2,1.19,-0.08
79,3,1.19,0.00
79,4,1.18,-0.01
79,5,2.72,1.54
79,6,5.60,2.88
79,7,4.66,-0.89
79,8,2.94,-1.72
79,9,3.40,0.46
79,10,4.24,0.84
79,11,5.13,0.89
79,12,5.57,0.43
79,13,5.50,-0.07
79,14,6.15,0.66
79,15,6.50,0.35
79,16,7.78,1.28
79,17,7.97,0.19
79,18,6.19,-1.82
79,19,2.97,-3.22
79,20,1.14,-1.76
79,21,0.97,-0.17
79,22,0.99,0.02
79,23,0.99,0.00
80,0,16.26,0.86
80,1,16.97,0.68
80,2,16.96,0.20
80,3,17.61,0.65
80,4,17.67,0.23
80,5,17.47,-0.37
80,6,16.62,-0.85
80,7,12.66,-3.93
80,8,8.30,-4.37
80,9,7.24,-1.05
80,10,6.98,-0.26
80,11,6.97,-0.02
80,12,6.86,-0.11
80,13,6.52,-0.33
80,14,6.53,0.00
80,15,7.38,0.86
80,16,10.34,2.95
80,17,12.52,2.18
80,18,13.62,1.44
80,19,14.40,0.78
80,20,14.51,0.07
80,21,14.87,0.37
80,22,15.59,0.72
80,23,16.29,0.70
81,0,3.49,0.05
81,1,3.70,0.14
81,2,3.82,-0.36
81,3,3.83,0.01
81,4,3.84,-0.03
81,5,4.40,0.60
81,6,7.95,3.55
81,7,8.89,1.09
81,8,7.98,-0.90
81,9,7.39,-0.59
81,10,6.79,-0.60
81,11,6.28,-0.51
81,12,5.57,-0.71
81,13,4.49,-1.08
81,14,2.57,-1.92
81,15,1.31,-1.26
81,16,1.74,0.43
81,17,2.58,0.83
81,18,3.34,0.71
81,19,3.62,0.28
81,20,3.41,-0.28
81,21,2.94,-0.47
81,22,3.27,0.33
81,23,3.30,0.03
82,0,6.24,0.29
82,1,6.32,0.12
82,2,6.55,0.18
82,3,6.55,-0.01
82,4,6.88,0.21
82,5,6.44,-0.30
82,6,5.76,-0.68
82,7,4.03,-1.77
82,8,2.85,-1.18
82,9,2.76,-0.09
82,10,2.48,-0.28
82,11,2.42,-0.06
82,12,2.28,-0.14
82,13,2.17,-0.12
82,14,1.91,-0.26
82,15,2.48,0.57
82,16,4.20,1.72
82,17,4.43,0.23
82,18,4.73,0.31
82,19,4.51,-0.22
